# t x y z qx qy qz qw
0.749999 0.680805 0.350114 0.276809 -0.577111 0.530473 -0.403261 0.472146
0.759999 0.680824 0.350096 0.276812 -0.577121 0.530460 -0.403235 0.472172
0.769999 0.680840 0.350084 0.276817 -0.577133 0.530443 -0.403207 0.472200
0.779999 0.680859 0.350080 0.276823 -0.577164 0.530403 -0.403147 0.472257
0.789999 0.680878 0.350089 0.276831 -0.577207 0.530348 -0.403065 0.472337
0.799999 0.680902 0.350109 0.276843 -0.577279 0.530258 -0.402941 0.472456
0.809999 0.680933 0.350132 0.276850 -0.577378 0.530141 -0.402768 0.472613
0.819999 0.680967 0.350176 0.276866 -0.577502 0.529989 -0.402555 0.472813
0.829999 0.681006 0.350211 0.276883 -0.577619 0.529845 -0.402347 0.473009
0.839999 0.681042 0.350254 0.276900 -0.577744 0.529691 -0.402126 0.473216
0.849999 0.681097 0.350297 0.276925 -0.577902 0.529494 -0.401844 0.473484
0.859999 0.681147 0.350321 0.276939 -0.578034 0.529334 -0.401607 0.473703
0.869999 0.681215 0.350317 0.276960 -0.578153 0.529182 -0.401377 0.473921
0.879999 0.681282 0.350297 0.276977 -0.578252 0.529057 -0.401183 0.474105
0.889999 0.681350 0.350262 0.276988 -0.578340 0.528949 -0.401004 0.474270
0.899999 0.681430 0.350209 0.277004 -0.578419 0.528847 -0.400829 0.474435
0.909999 0.681508 0.350147 0.277019 -0.578480 0.528765 -0.400687 0.474571
0.919999 0.681590 0.350067 0.277037 -0.578522 0.528704 -0.400569 0.474688
0.929999 0.681682 0.349961 0.277055 -0.578550 0.528660 -0.400469 0.474788
0.939999 0.681769 0.349852 0.277071 -0.578562 0.528634 -0.400394 0.474866
0.949999 0.681861 0.349731 0.277091 -0.578567 0.528613 -0.400329 0.474937
0.959999 0.681952 0.349606 0.277104 -0.578570 0.528598 -0.400273 0.474997
0.969999 0.682048 0.349472 0.277116 -0.578572 0.528584 -0.400221 0.475054
0.979999 0.682141 0.349335 0.277123 -0.578563 0.528587 -0.400186 0.475092
0.989999 0.682252 0.349167 0.277133 -0.578547 0.528594 -0.400151 0.475133
0.999999 0.682353 0.349019 0.277147 -0.578535 0.528594 -0.400117 0.475175
1.009999 0.682454 0.348878 0.277160 -0.578534 0.528583 -0.400064 0.475234
1.019999 0.682548 0.348746 0.277167 -0.578537 0.528572 -0.400007 0.475290
1.029999 0.682640 0.348615 0.277175 -0.578534 0.528567 -0.399964 0.475337
1.039999 0.682718 0.348495 0.277181 -0.578520 0.528576 -0.399943 0.475361
1.049999 0.682801 0.348359 0.277186 -0.578497 0.528597 -0.399932 0.475375
1.059999 0.682892 0.348205 0.277190 -0.578471 0.528621 -0.399924 0.475387
1.069999 0.682981 0.348058 0.277201 -0.578440 0.528648 -0.399920 0.475398
1.079999 0.683056 0.347933 0.277212 -0.578410 0.528674 -0.399917 0.475407
1.089999 0.683129 0.347804 0.277225 -0.578373 0.528707 -0.399927 0.475407
1.099999 0.683202 0.347681 0.277244 -0.578332 0.528742 -0.399943 0.475404
1.109999 0.683256 0.347585 0.277261 -0.578298 0.528771 -0.399955 0.475404
1.119999 0.683308 0.347484 0.277276 -0.578258 0.528810 -0.399971 0.475395
1.129999 0.683351 0.347389 0.277286 -0.578220 0.528850 -0.399990 0.475380
1.139999 0.683370 0.347313 0.277284 -0.578196 0.528884 -0.400004 0.475361
1.149999 0.683386 0.347239 0.277275 -0.578176 0.528920 -0.400014 0.475337
1.159999 0.683394 0.347176 0.277272 -0.578159 0.528949 -0.400022 0.475318
1.169999 0.683392 0.347127 0.277267 -0.578148 0.528971 -0.400026 0.475304
1.179999 0.683384 0.347075 0.277256 -0.578139 0.528997 -0.400026 0.475286
1.189999 0.683369 0.347045 0.277247 -0.578139 0.529011 -0.400020 0.475275
1.199999 0.683350 0.347021 0.277240 -0.578142 0.529020 -0.400016 0.475265
1.209999 0.683326 0.347016 0.277243 -0.578146 0.529022 -0.400003 0.475268
1.219999 0.683298 0.347017 0.277243 -0.578152 0.529024 -0.399987 0.475272
1.229999 0.683257 0.347024 0.277237 -0.578167 0.529024 -0.399964 0.475275
1.239999 0.683217 0.347026 0.277227 -0.578182 0.529024 -0.399943 0.475273
1.249999 0.683178 0.347030 0.277226 -0.578195 0.529021 -0.399923 0.475277
1.259999 0.683137 0.347035 0.277227 -0.578208 0.529016 -0.399905 0.475283
1.269999 0.683112 0.347023 0.277225 -0.578215 0.529018 -0.399895 0.475280
1.279999 0.683085 0.347012 0.277219 -0.578226 0.529017 -0.399882 0.475279
1.289999 0.683064 0.346995 0.277206 -0.578236 0.529020 -0.399869 0.475275
1.299999 0.683049 0.346971 0.277188 -0.578252 0.529019 -0.399849 0.475272
1.309999 0.683040 0.346945 0.277169 -0.578274 0.529010 -0.399816 0.475284
1.319999 0.683035 0.346914 0.277144 -0.578302 0.528999 -0.399772 0.475299
1.329999 0.683030 0.346889 0.277119 -0.578335 0.528982 -0.399723 0.475319
1.339999 0.683025 0.346865 0.277088 -0.578383 0.528953 -0.399649 0.475356
1.349999 0.683025 0.346836 0.277058 -0.578435 0.528915 -0.399568 0.475401
1.359999 0.683029 0.346806 0.277028 -0.578480 0.528885 -0.399499 0.475439
1.369999 0.683055 0.346742 0.277010 -0.578508 0.528867 -0.399444 0.475471
1.379999 0.683083 0.346680 0.276993 -0.578534 0.528849 -0.399387 0.475507
1.389999 0.683110 0.346622 0.276980 -0.578569 0.528818 -0.399316 0.475559
1.399999 0.683136 0.346574 0.276977 -0.578611 0.528776 -0.399232 0.475625
1.409999 0.683166 0.346522 0.276979 -0.578648 0.528736 -0.399147 0.475697
1.419999 0.683193 0.346489 0.276985 -0.578704 0.528670 -0.399031 0.475798
1.429999 0.683227 0.346456 0.276993 -0.578770 0.528593 -0.398897 0.475916
1.439999 0.683271 0.346445 0.277020 -0.578880 0.528450 -0.398689 0.476115
1.449999 0.683302 0.346468 0.277047 -0.579012 0.528282 -0.398453 0.476339
1.459999 0.683336 0.346505 0.277082 -0.579172 0.528075 -0.398174 0.476607
1.469999 0.683368 0.346548 0.277116 -0.579352 0.527845 -0.397871 0.476895
1.479999 0.683406 0.346577 0.277160 -0.579523 0.527618 -0.397575 0.477185
1.489999 0.683446 0.346603 0.277215 -0.579692 0.527387 -0.397280 0.477482
1.499999 0.683489 0.346608 0.277264 -0.579848 0.527178 -0.396997 0.477759
1.509999 0.683541 0.346590 0.277310 -0.580001 0.526974 -0.396704 0.478041
1.519999 0.683598 0.346546 0.277344 -0.580141 0.526794 -0.396430 0.478297
1.529999 0.683655 0.346487 0.277369 -0.580251 0.526654 -0.396208 0.478502
1.539999 0.683729 0.346389 0.277392 -0.580327 0.526553 -0.396030 0.478668
1.549999 0.683805 0.346278 0.277415 -0.580400 0.526456 -0.395855 0.478830
1.559999 0.683880 0.346161 0.277433 -0.580475 0.526363 -0.395670 0.478995
1.569999 0.683935 0.346063 0.277437 -0.580544 0.526290 -0.395503 0.479130
1.579998 0.683998 0.345945 0.277438 -0.580597 0.526236 -0.395352 0.479249
1.589998 0.684066 0.345827 0.277447 -0.580644 0.526186 -0.395198 0.479374
1.599998 0.684140 0.345683 0.277446 -0.580670 0.526162 -0.395090 0.479457
1.609998 0.684227 0.345498 0.277445 -0.580675 0.526160 -0.395018 0.479512
1.619998 0.684297 0.345332 0.277462 -0.580689 0.526140 -0.394937 0.479584
1.629998 0.684381 0.345130 0.277488 -0.580679 0.526146 -0.394874 0.479642
1.639998 0.684471 0.344901 0.277512 -0.580652 0.526175 -0.394828 0.479681
1.649998 0.684559 0.344684 0.277546 -0.580628 0.526195 -0.394774 0.479733
1.659998 0.684641 0.344494 0.277607 -0.580612 0.526194 -0.394686 0.479826
1.669998 0.684720 0.344304 0.277657 -0.580583 0.526216 -0.394617 0.479893
1.679998 0.684810 0.344062 0.277719 -0.580560 0.526235 -0.394501 0.479996
1.689998 0.684878 0.343874 0.277781 -0.580555 0.526225 -0.394398 0.480098
1.699998 0.684959 0.343675 0.277856 -0.580531 0.526217 -0.394345 0.480178
1.709998 0.685052 0.343448 0.277945 -0.580489 0.526220 -0.394322 0.480246
1.719998 0.685114 0.343281 0.278030 -0.580461 0.526211 -0.394286 0.480319
1.729998 0.685174 0.343097 0.278125 -0.580424 0.526214 -0.394241 0.480397
1.739998 0.685223 0.342921 0.278216 -0.580374 0.526235 -0.394224 0.480448
1.749998 0.685289 0.342715 0.278308 -0.580302 0.526279 -0.394235 0.480478
1.759998 0.685363 0.342498 0.278422 -0.580207 0.526339 -0.394259 0.480508
1.769998 0.685412 0.342290 0.278526 -0.580073 0.526468 -0.394284 0.480508
1.779998 0.685444 0.342091 0.278617 -0.579915 0.526654 -0.394286 0.480491
