# t x y z qx qy qz qw
0.749999 0.679907 0.351546 0.279462 -0.579541 0.529020 -0.396699 0.476341
0.759999 0.680020 0.351596 0.279379 -0.580060 0.528476 -0.396023 0.476875
0.769999 0.680132 0.351646 0.279297 -0.580578 0.527931 -0.395346 0.477409
0.779999 0.680245 0.351696 0.279214 -0.581096 0.527386 -0.394668 0.477942
0.789999 0.680259 0.351647 0.279299 -0.581253 0.527182 -0.394410 0.478190
0.799999 0.680240 0.351566 0.279440 -0.581288 0.527092 -0.394292 0.478343
0.809999 0.680221 0.351484 0.279580 -0.581324 0.527001 -0.394175 0.478496
0.819999 0.680202 0.351403 0.279721 -0.581359 0.526911 -0.394057 0.478649
0.829999 0.680250 0.351606 0.279370 -0.581270 0.527136 -0.394351 0.478267
0.839999 0.680259 0.351647 0.279299 -0.581253 0.527182 -0.394410 0.478190
0.849999 0.680240 0.351566 0.279440 -0.581288 0.527091 -0.394292 0.478343
0.859999 0.680221 0.351484 0.279580 -0.581324 0.527001 -0.394175 0.478497
0.869999 0.680202 0.351402 0.279721 -0.581359 0.526911 -0.394057 0.478650
0.879999 0.680194 0.351368 0.279779 -0.581374 0.526873 -0.394008 0.478713
0.889999 0.680194 0.351368 0.279779 -0.581374 0.526873 -0.394008 0.478713
0.899999 0.680194 0.351368 0.279779 -0.581374 0.526873 -0.394008 0.478713
0.909999 0.680264 0.351238 0.279841 -0.581344 0.526742 -0.394203 0.478734
0.919999 0.680520 0.350757 0.280068 -0.581233 0.526261 -0.394916 0.478810
0.929999 0.680777 0.350277 0.280294 -0.581122 0.525778 -0.395630 0.478885
0.939999 0.681033 0.349797 0.280521 -0.581011 0.525296 -0.396343 0.478960
0.949999 0.681259 0.349359 0.280736 -0.580915 0.524856 -0.396970 0.479040
0.959999 0.681230 0.349267 0.280857 -0.580951 0.524762 -0.396889 0.479166
0.969999 0.681200 0.349174 0.280978 -0.580986 0.524668 -0.396809 0.479293
0.979999 0.681171 0.349081 0.281099 -0.581022 0.524574 -0.396728 0.479419
0.989999 0.681142 0.348989 0.281219 -0.581057 0.524481 -0.396647 0.479545
0.999999 0.681259 0.349361 0.280734 -0.580914 0.524857 -0.396972 0.479038
1.009999 0.681230 0.349268 0.280855 -0.580950 0.524763 -0.396891 0.479164
1.019999 0.681201 0.349175 0.280976 -0.580985 0.524670 -0.396810 0.479290
1.029999 0.681172 0.349083 0.281097 -0.581021 0.524576 -0.396730 0.479417
1.039999 0.681143 0.348990 0.281218 -0.581056 0.524482 -0.396649 0.479543
1.049999 0.681141 0.348984 0.281226 -0.581059 0.524476 -0.396643 0.479552
1.059999 0.681141 0.348984 0.281226 -0.581059 0.524476 -0.396643 0.479552
1.069999 0.681141 0.348984 0.281226 -0.581059 0.524476 -0.396643 0.479552
1.079999 0.681004 0.348882 0.281132 -0.581019 0.524721 -0.396645 0.479330
1.089999 0.680778 0.348713 0.280976 -0.580954 0.525127 -0.396647 0.478962
1.099999 0.680552 0.348545 0.280820 -0.580889 0.525533 -0.396648 0.478595
1.109999 0.680325 0.348376 0.280665 -0.580823 0.525939 -0.396650 0.478227
1.119999 0.680187 0.348233 0.280627 -0.580819 0.526109 -0.396636 0.478057
1.129999 0.680152 0.348119 0.280729 -0.580886 0.526000 -0.396604 0.478121
1.139999 0.680118 0.348005 0.280831 -0.580954 0.525892 -0.396572 0.478185
1.149999 0.680083 0.347892 0.280933 -0.581021 0.525783 -0.396540 0.478249
1.159999 0.680107 0.347970 0.280863 -0.580974 0.525858 -0.396563 0.478205
1.169999 0.680188 0.348237 0.280623 -0.580816 0.526112 -0.396638 0.478055
1.179999 0.680153 0.348123 0.280726 -0.580883 0.526004 -0.396606 0.478119
1.189999 0.680119 0.348009 0.280828 -0.580951 0.525895 -0.396574 0.478184
1.199999 0.680084 0.347896 0.280930 -0.581018 0.525786 -0.396542 0.478248
1.209999 0.680059 0.347811 0.281006 -0.581068 0.525706 -0.396519 0.478295
1.219999 0.680059 0.347812 0.281006 -0.581068 0.525705 -0.396519 0.478296
1.229999 0.680059 0.347812 0.281006 -0.581067 0.525705 -0.396520 0.478296
1.239999 0.680058 0.347812 0.281006 -0.581067 0.525705 -0.396520 0.478296
1.249999 0.680251 0.347855 0.280769 -0.581203 0.525517 -0.396269 0.478546
1.259999 0.680456 0.347901 0.280516 -0.581349 0.525315 -0.396000 0.478812
1.269999 0.680661 0.347947 0.280262 -0.581495 0.525114 -0.395731 0.479078
1.279999 0.680866 0.347993 0.280009 -0.581641 0.524912 -0.395462 0.479344
1.289999 0.680880 0.347894 0.280096 -0.581691 0.524755 -0.395387 0.479517
1.299999 0.680836 0.347752 0.280283 -0.581712 0.524612 -0.395371 0.479661
1.309999 0.680792 0.347610 0.280471 -0.581734 0.524468 -0.395354 0.479806
1.319999 0.680749 0.347468 0.280659 -0.581755 0.524325 -0.395338 0.479951
1.329999 0.680864 0.347844 0.280162 -0.581698 0.524705 -0.395382 0.479567
1.339999 0.680879 0.347893 0.280097 -0.581691 0.524754 -0.395387 0.479518
1.349999 0.680836 0.347751 0.280285 -0.581712 0.524611 -0.395371 0.479662
1.359999 0.680792 0.347609 0.280473 -0.581734 0.524467 -0.395354 0.479807
1.369999 0.680748 0.347466 0.280661 -0.581755 0.524324 -0.395338 0.479952
1.379999 0.680731 0.347411 0.280734 -0.581764 0.524268 -0.395331 0.480008
1.389999 0.680731 0.347411 0.280734 -0.581764 0.524268 -0.395330 0.480008
1.399999 0.680731 0.347411 0.280734 -0.581764 0.524268 -0.395330 0.480008
1.409999 0.681456 0.347385 0.280740 -0.583023 0.522802 -0.393144 0.481871
1.419999 0.681406 0.347262 0.280935 -0.583029 0.522706 -0.393017 0.482072
1.429999 0.681356 0.347139 0.281130 -0.583034 0.522609 -0.392891 0.482273
1.439999 0.681307 0.347016 0.281325 -0.583039 0.522513 -0.392764 0.482474
1.449999 0.681257 0.346893 0.281520 -0.583045 0.522417 -0.392638 0.482675
1.459999 0.681194 0.346748 0.281742 -0.583054 0.522287 -0.392564 0.482864
1.469999 0.681129 0.346602 0.281966 -0.583064 0.522156 -0.392493 0.483051
1.479999 0.681065 0.346456 0.282189 -0.583074 0.522024 -0.392423 0.483239
1.489999 0.681001 0.346310 0.282413 -0.583084 0.521892 -0.392353 0.483426
1.499999 0.681245 0.346869 0.281559 -0.583043 0.522395 -0.392625 0.482710
1.509999 0.681181 0.346723 0.281783 -0.583053 0.522263 -0.392555 0.482898
1.519999 0.681117 0.346577 0.282006 -0.583063 0.522131 -0.392484 0.483086
1.529999 0.681052 0.346431 0.282230 -0.583073 0.521999 -0.392414 0.483274
1.539999 0.680988 0.346284 0.282454 -0.583083 0.521867 -0.392344 0.483461
1.549999 0.680984 0.346275 0.282468 -0.583083 0.521859 -0.392340 0.483473
1.559999 0.680984 0.346275 0.282468 -0.583082 0.521859 -0.392341 0.483474
1.569999 0.680983 0.346276 0.282468 -0.583082 0.521859 -0.392341 0.483474
1.579998 0.682661 0.343021 0.282452 -0.581261 0.523252 -0.394279 0.482585
1.589998 0.682587 0.342851 0.282711 -0.581237 0.523154 -0.394185 0.482796
1.599998 0.682514 0.342680 0.282971 -0.581213 0.523057 -0.394090 0.483008
1.609998 0.682440 0.342509 0.283230 -0.581189 0.522959 -0.393996 0.483219
1.619998 0.682362 0.342333 0.283502 -0.581160 0.522858 -0.393909 0.483434
1.629998 0.682272 0.342137 0.283815 -0.581114 0.522747 -0.393845 0.483662
1.639998 0.682182 0.341942 0.284128 -0.581068 0.522635 -0.393781 0.483889
1.649998 0.682092 0.341746 0.284440 -0.581022 0.522523 -0.393718 0.484116
1.659998 0.682050 0.341657 0.284584 -0.581000 0.522472 -0.393690 0.484221
1.669998 0.682340 0.342295 0.283571 -0.581140 0.522836 -0.393910 0.483481
1.679998 0.682250 0.342099 0.283884 -0.581094 0.522724 -0.393846 0.483709
1.689998 0.682160 0.341904 0.284197 -0.581048 0.522612 -0.393782 0.483937
1.699998 0.682070 0.341708 0.284510 -0.581002 0.522500 -0.393717 0.484166
1.709998 0.682005 0.341568 0.284734 -0.580969 0.522420 -0.393672 0.484329
1.719998 0.682005 0.341568 0.284735 -0.580968 0.522420 -0.393673 0.484329
1.729998 0.682005 0.341568 0.284735 -0.580968 0.522421 -0.393673 0.484329
1.739998 0.682004 0.341568 0.284735 -0.580967 0.522421 -0.393674 0.484329
1.749998 0.681615 0.341080 0.285746 -0.578253 0.523866 -0.394859 0.485051
1.759998 0.681533 0.340869 0.286092 -0.578160 0.523800 -0.394767 0.485308
1.769998 0.681451 0.340657 0.286437 -0.578066 0.523734 -0.394676 0.485564
1.779998 0.681370 0.340446 0.286783 -0.577973 0.523668 -0.394585 0.485820
1.789998 0.681282 0.340226 0.287139 -0.577879 0.523595 -0.394510 0.486072
1.799998 0.681186 0.339994 0.287511 -0.577784 0.523511 -0.394458 0.486317
1.809998 0.681090 0.339762 0.287883 -0.577690 0.523427 -0.394406 0.486562
1.819998 0.680994 0.339530 0.288255 -0.577596 0.523342 -0.394353 0.486807
1.829998 0.681118 0.339834 0.287770 -0.577715 0.523454 -0.394427 0.486485
1.839998 0.681245 0.340145 0.287273 -0.577838 0.523568 -0.394502 0.486156
1.849998 0.681149 0.339913 0.287645 -0.577744 0.523484 -0.394450 0.486401
1.859998 0.681053 0.339681 0.288017 -0.577649 0.523399 -0.394398 0.486647
1.869998 0.680957 0.339449 0.288389 -0.577555 0.523315 -0.394345 0.486892
1.879998 0.680917 0.339357 0.288543 -0.577508 0.523283 -0.394333 0.486992
1.889998 0.680915 0.339362 0.288546 -0.577495 0.523287 -0.394348 0.486990
1.899998 0.680912 0.339368 0.288549 -0.577482 0.523291 -0.394364 0.486989
1.909998 0.680958 0.339270 0.288664 -0.577551 0.523161 -0.394446 0.486981
1.919998 0.681152 0.338850 0.289130 -0.577876 0.522607 -0.394736 0.486953
1.929998 0.681346 0.338431 0.289596 -0.578202 0.522054 -0.395027 0.486925
1.939998 0.681540 0.338012 0.290062 -0.578527 0.521500 -0.395317 0.486897
1.949998 0.681700 0.337606 0.290535 -0.578795 0.520998 -0.395575 0.486906
1.959998 0.681604 0.337308 0.291055 -0.578642 0.520885 -0.395593 0.487195
1.969998 0.681507 0.337009 0.291576 -0.578488 0.520772 -0.395611 0.487483
1.979998 0.681410 0.336710 0.292096 -0.578334 0.520659 -0.395629 0.487771
1.989998 0.681314 0.336411 0.292616 -0.578180 0.520546 -0.395647 0.488060
1.999998 0.681702 0.337610 0.290525 -0.578800 0.521000 -0.395572 0.486900
2.009998 0.681606 0.337311 0.291046 -0.578647 0.520887 -0.395590 0.487189
2.019998 0.681509 0.337012 0.291566 -0.578493 0.520774 -0.395609 0.487477
2.029998 0.681412 0.336713 0.292087 -0.578339 0.520661 -0.395627 0.487765
2.039998 0.681316 0.336415 0.292607 -0.578186 0.520548 -0.395645 0.488053
2.049998 0.681309 0.336394 0.292641 -0.578176 0.520541 -0.395646 0.488072
2.059998 0.681309 0.336394 0.292641 -0.578177 0.520541 -0.395645 0.488072
2.069998 0.681310 0.336394 0.292641 -0.578177 0.520541 -0.395645 0.488072
2.079998 0.682136 0.336390 0.291614 -0.578330 0.519951 -0.394703 0.489281
2.089998 0.682039 0.336056 0.292138 -0.578182 0.519853 -0.394677 0.489580
2.099998 0.681943 0.335722 0.292661 -0.578034 0.519755 -0.394650 0.489880
2.109998 0.681846 0.335389 0.293185 -0.577887 0.519657 -0.394623 0.490180
2.119998 0.681748 0.335046 0.293719 -0.577735 0.519556 -0.394603 0.490481
2.129998 0.681643 0.334676 0.294287 -0.577572 0.519446 -0.394605 0.490788
2.139998 0.681539 0.334306 0.294855 -0.577409 0.519336 -0.394607 0.491096
2.149998 0.681435 0.333936 0.295422 -0.577245 0.519225 -0.394608 0.491403
2.159998 0.681395 0.333798 0.295635 -0.577184 0.519184 -0.394609 0.491518
2.169998 0.681728 0.334975 0.293827 -0.577704 0.519537 -0.394605 0.490537
2.179998 0.681623 0.334605 0.294395 -0.577541 0.519427 -0.394607 0.490844
2.189998 0.681519 0.334235 0.294962 -0.577378 0.519316 -0.394608 0.491152
2.199998 0.681414 0.333866 0.295530 -0.577214 0.519206 -0.394610 0.491459
2.209998 0.681338 0.333597 0.295943 -0.577096 0.519125 -0.394611 0.491682
2.219998 0.681338 0.333597 0.295943 -0.577096 0.519126 -0.394611 0.491682
2.229998 0.681338 0.333597 0.295943 -0.577095 0.519126 -0.394611 0.491682
2.239998 0.681338 0.333597 0.295943 -0.577095 0.519126 -0.394611 0.491682
2.249998 0.681684 0.332341 0.296821 -0.576938 0.519011 -0.394970 0.491701
2.259998 0.682048 0.331019 0.297744 -0.576771 0.518890 -0.395347 0.491721
2.269998 0.682411 0.329698 0.298668 -0.576605 0.518768 -0.395724 0.491740
2.279998 0.682775 0.328376 0.299591 -0.576438 0.518647 -0.396101 0.491760
2.289998 0.682796 0.327724 0.300375 -0.576230 0.518500 -0.396267 0.492026
2.299998 0.682707 0.327284 0.301113 -0.576007 0.518345 -0.396366 0.492370
2.309998 0.682619 0.326843 0.301852 -0.575784 0.518190 -0.396465 0.492714
2.319998 0.682531 0.326403 0.302591 -0.575562 0.518034 -0.396564 0.493058
2.329998 0.682729 0.327388 0.300937 -0.576061 0.518381 -0.396342 0.492289
2.339998 0.682805 0.327768 0.300300 -0.576253 0.518515 -0.396256 0.491992
2.349998 0.682717 0.327327 0.301039 -0.576030 0.518360 -0.396355 0.492336
2.359998 0.682629 0.326887 0.301777 -0.575808 0.518205 -0.396454 0.492680
2.369998 0.682541 0.326447 0.302516 -0.575585 0.518049 -0.396553 0.493024
2.379998 0.682496 0.326224 0.302891 -0.575472 0.517971 -0.396603 0.493198
2.389998 0.682496 0.326224 0.302891 -0.575473 0.517970 -0.396602 0.493198
2.399998 0.682496 0.326223 0.302891 -0.575473 0.517970 -0.396602 0.493198
2.409998 0.682566 0.325799 0.303530 -0.575328 0.517930 -0.396845 0.493215
2.419998 0.682812 0.324307 0.305777 -0.574816 0.517790 -0.397700 0.493270
2.429998 0.683058 0.322815 0.308024 -0.574304 0.517649 -0.398554 0.493325
2.439998 0.683304 0.321323 0.310271 -0.573791 0.517508 -0.399408 0.493380
2.449998 0.683515 0.319928 0.312362 -0.573309 0.517362 -0.400195 0.493455
2.459998 0.683461 0.319290 0.313219 -0.573075 0.517184 -0.400460 0.493697
2.469998 0.683406 0.318652 0.314076 -0.572841 0.517007 -0.400725 0.493940
2.479998 0.683351 0.318014 0.314933 -0.572607 0.516830 -0.400990 0.494182
2.489998 0.683297 0.317376 0.315790 -0.572373 0.516652 -0.401254 0.494423
2.499998 0.683516 0.319932 0.312356 -0.573310 0.517363 -0.400193 0.493454
2.509998 0.683461 0.319294 0.313213 -0.573077 0.517186 -0.400458 0.493696
2.519998 0.683406 0.318657 0.314070 -0.572843 0.517008 -0.400723 0.493938
2.529998 0.683352 0.318019 0.314927 -0.572609 0.516831 -0.400988 0.494180
2.539998 0.683297 0.317381 0.315784 -0.572375 0.516653 -0.401252 0.494422
2.549998 0.683294 0.317342 0.315836 -0.572361 0.516643 -0.401269 0.494436
2.559998 0.683294 0.317342 0.315836 -0.572361 0.516643 -0.401269 0.494436
2.569998 0.683294 0.317342 0.315836 -0.572361 0.516643 -0.401269 0.494436
2.579998 0.682761 0.316695 0.316659 -0.572292 0.516458 -0.401530 0.494497
2.589998 0.681878 0.315624 0.318021 -0.572178 0.516151 -0.401963 0.494596
2.599998 0.681767 0.314857 0.318886 -0.572019 0.515954 -0.402262 0.494744
2.609998 0.681699 0.314108 0.319724 -0.571857 0.515762 -0.402553 0.494894
2.619998 0.681631 0.313359 0.320561 -0.571694 0.515571 -0.402844 0.495044
2.629997 0.681564 0.312610 0.321398 -0.571532 0.515379 -0.403135 0.495195
2.639997 0.681499 0.311832 0.322234 -0.571357 0.515197 -0.403442 0.495335
2.649997 0.681435 0.311046 0.323069 -0.571179 0.515019 -0.403753 0.495473
2.659997 0.681371 0.310260 0.323904 -0.571001 0.514840 -0.404064 0.495611
