0,1751541523.3740714,[37329.0, 37359.0, 35460.0, 37289.0, 37254.0, 34433.0, 36924.0, 35736.0, 37329.0, 36834.0, 36675.0, 35838.0, 37693.0, 36740.0, 37417.0, 36606.0]
4,1751541523.707443,[37330.0, 37359.0, 35460.0, 37290.0, 37254.0, 34433.0, 36925.0, 35737.0, 37330.0, 36834.0, 36675.0, 35837.0, 37692.0, 36739.0, 37418.0, 36606.0]
8,1751541524.0409749,[37330.0, 37360.0, 35461.0, 37289.0, 37255.0, 34432.0, 36924.0, 35735.0, 37331.0, 36834.0, 36672.0, 35835.0, 37692.0, 36740.0, 37416.0, 36608.0]
12,1751541524.375803,[37330.0, 37358.0, 35462.0, 37289.0, 37254.0, 34433.0, 36924.0, 35735.0, 37331.0, 36836.0, 36673.0, 35835.0, 37690.0, 36740.0, 37416.0, 36607.0]
16,1751541524.7087028,[37332.0, 37360.0, 35461.0, 37290.0, 37253.0, 34433.0, 36924.0, 35737.0, 37329.0, 36835.0, 36674.0, 35835.0, 37694.0, 36741.0, 37416.0, 36608.0]
20,1751541525.0414705,[37331.0, 37359.0, 35460.0, 37290.0, 37255.0, 34432.0, 36923.0, 35735.0, 37329.0, 36834.0, 36675.0, 35836.0, 37694.0, 36739.0, 37417.0, 36609.0]
24,1751541525.375219,[37331.0, 37360.0, 35460.0, 37289.0, 37254.0, 34433.0, 36924.0, 35734.0, 37329.0, 36836.0, 36674.0, 35836.0, 37695.0, 36740.0, 37418.0, 36608.0]
28,1751541525.7099295,[37332.0, 37360.0, 35459.0, 37289.0, 37253.0, 34432.0, 36925.0, 35734.0, 37329.0, 36834.0, 36675.0, 35837.0, 37694.0, 36740.0, 37417.0, 36607.0]
32,1751541526.0419273,[37331.0, 37360.0, 35460.0, 37289.0, 37255.0, 34434.0, 36925.0, 35734.0, 37330.0, 36834.0, 36674.0, 35836.0, 37696.0, 36740.0, 37419.0, 36607.0]
36,1751541526.3753996,[37332.0, 37358.0, 35460.0, 37289.0, 37254.0, 34433.0, 36923.0, 35734.0, 37330.0, 36833.0, 36674.0, 35836.0, 37696.0, 36739.0, 37419.0, 36607.0]
40,1751541526.7093701,[37333.0, 37361.0, 35461.0, 37289.0, 37255.0, 34432.0, 36923.0, 35735.0, 37328.0, 36834.0, 36674.0, 35836.0, 37695.0, 36739.0, 37418.0, 36608.0]
44,1751541527.0423315,[37330.0, 37360.0, 35460.0, 37288.0, 37253.0, 34433.0, 36924.0, 35733.0, 37328.0, 36835.0, 36674.0, 35838.0, 37694.0, 36739.0, 37418.0, 36608.0]
48,1751541527.3760169,[37331.0, 37361.0, 35460.0, 37290.0, 37254.0, 34432.0, 36923.0, 35735.0, 37331.0, 36835.0, 36676.0, 35837.0, 37694.0, 36739.0, 37417.0, 36609.0]
52,1751541527.7093637,[37330.0, 37361.0, 35460.0, 37290.0, 37254.0, 34433.0, 36923.0, 35735.0, 37328.0, 36835.0, 36674.0, 35835.0, 37694.0, 36739.0, 37418.0, 36607.0]
56,1751541528.0428405,[37331.0, 37362.0, 35461.0, 37291.0, 37255.0, 34433.0, 36924.0, 35734.0, 37330.0, 36834.0, 36674.0, 35837.0, 37694.0, 36741.0, 37418.0, 36607.0]
60,1751541528.377747,[37330.0, 37363.0, 35461.0, 37288.0, 37254.0, 34433.0, 36924.0, 35735.0, 37330.0, 36836.0, 36674.0, 35837.0, 37694.0, 36740.0, 37417.0, 36608.0]
64,1751541528.7102392,[37332.0, 37359.0, 35460.0, 37289.0, 37255.0, 34433.0, 36924.0, 35737.0, 37329.0, 36836.0, 36675.0, 35836.0, 37693.0, 36739.0, 37417.0, 36607.0]
68,1751541529.044293,[37330.0, 37361.0, 35460.0, 37289.0, 37254.0, 34434.0, 36924.0, 35736.0, 37329.0, 36835.0, 36675.0, 35835.0, 37694.0, 36739.0, 37416.0, 36607.0]
72,1751541529.3780215,[37331.0, 37360.0, 35460.0, 37289.0, 37254.0, 34433.0, 36925.0, 35735.0, 37331.0, 36835.0, 36675.0, 35836.0, 37693.0, 36739.0, 37420.0, 36608.0]
