0,1751541484.3730102,[37328.0, 37359.0, 35461.0, 37289.0, 37252.0, 34432.0, 36923.0, 35736.0, 37329.0, 36834.0, 36673.0, 35837.0, 37692.0, 36739.0, 37416.0, 36607.0]
4,1751541484.7067416,[37330.0, 37359.0, 35459.0, 37288.0, 37252.0, 34432.0, 36925.0, 35736.0, 37328.0, 36834.0, 36674.0, 35838.0, 37690.0, 36739.0, 37417.0, 36605.0]
8,1751541485.0400229,[37327.0, 37358.0, 35460.0, 37288.0, 37254.0, 34434.0, 36924.0, 35736.0, 37329.0, 36835.0, 36673.0, 35837.0, 37692.0, 36739.0, 37420.0, 36607.0]
12,1751541485.373444,[37331.0, 37359.0, 35461.0, 37290.0, 37255.0, 34433.0, 36925.0, 35735.0, 37328.0, 36834.0, 36674.0, 35838.0, 37689.0, 36740.0, 37418.0, 36605.0]
16,1751541485.706837,[37328.0, 37359.0, 35462.0, 37287.0, 37254.0, 34433.0, 36925.0, 35735.0, 37328.0, 36836.0, 36674.0, 35837.0, 37691.0, 36739.0, 37417.0, 36606.0]
20,1751541486.040526,[37331.0, 37359.0, 35461.0, 37289.0, 37254.0, 34434.0, 36924.0, 35734.0, 37330.0, 36833.0, 36673.0, 35837.0, 37692.0, 36739.0, 37418.0, 36607.0]
24,1751541486.3737667,[37327.0, 37358.0, 35461.0, 37288.0, 37253.0, 34434.0, 36926.0, 35737.0, 37329.0, 36836.0, 36675.0, 35837.0, 37691.0, 36741.0, 37417.0, 36605.0]
28,1751541486.7072182,[37328.0, 37358.0, 35461.0, 37288.0, 37252.0, 34433.0, 36926.0, 35735.0, 37329.0, 36834.0, 36674.0, 35837.0, 37692.0, 36740.0, 37418.0, 36606.0]
32,1751541487.0407052,[37329.0, 37360.0, 35459.0, 37288.0, 37251.0, 34434.0, 36926.0, 35736.0, 37330.0, 36835.0, 36675.0, 35838.0, 37691.0, 36740.0, 37416.0, 36606.0]
36,1751541487.3750467,[37329.0, 37361.0, 35460.0, 37288.0, 37254.0, 34433.0, 36925.0, 35735.0, 37329.0, 36835.0, 36673.0, 35837.0, 37691.0, 36740.0, 37418.0, 36607.0]
